SYD BARRETT;OCTOPUS;1970
WARRIOR SOUL;WE CRY OUT;1990
BUILT TO SPILL;ELSE;1999
ALAN RANKINE (Associates);THE SANDMAN;1986
PINK FLOYD;DOGS;1977
HUGH MASEKELA;DON’T GO LOSE IT BABY;1984
LITTLE RIVER BAND;IT’S A LONG WAY THERE;1975
IMAGINE DRAGONS;RADIOACTIVE;2012
GORDON LIGHTFOOT;SUNDOWN;1974
GILLES DREU;ALOUETTE;1968
DISTURBED;STUPIFY;2000
BLOC PARTY;LIKE EATING GLASS;2005
ERIC B. & RAKIM;DON’T SWEAT THE TECHNIQUE;1992
CHARLIE WINSTON;IN YOUR HANDS;2009
AND SO I WATCH YOU FROM AFAR;BIG THINKS DO REMARKABLE;2013